Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-12-01 00:00:00,96407.99,96411.99,96376.0,96376.0,8.18452,2024-12-01 00:00:59.999,788996.1628126,1763,3.18577,307128.8909746,0
2024-12-01 00:01:00,96376.0,96384.76,96350.13,96350.13,6.72047,2024-12-01 00:01:59.999,647671.0362169,1652,1.79784,173254.1385468,0
2024-12-01 00:02:00,96350.13,96411.99,96350.13,96411.99,3.50598,2024-12-01 00:02:59.999,337868.2644378,2116,2.7428,264314.4741611,0
2024-12-01 00:03:00,96411.99,96491.58,96408.01,96491.58,5.55435,2024-12-01 00:03:59.999,535661.3949977,2599,4.00182,385967.4814848,0
2024-12-01 00:04:00,96491.57,96524.0,96491.57,96508.29,11.91174,2024-12-01 00:04:59.999,1149563.5410729,2103,7.28669,703187.0902237,0
2024-12-01 00:05:00,96508.29,96526.0,96488.01,96497.67,5.28992,2024-12-01 00:05:59.999,510544.026301,2479,1.83898,177469.375533,0
2024-12-01 00:06:00,96497.67,96512.22,96485.94,96485.94,10.47708,2024-12-01 00:06:59.999,1011031.5730754,2808,8.36172,806898.2366139,0
2024-12-01 00:07:00,96485.94,96504.0,96485.94,96492.07,3.30073,2024-12-01 00:07:59.999,318502.2699745,1153,1.71468,165452.8900562,0
2024-12-01 00:08:00,96492.06,96536.0,96492.06,96536.0,10.70896,2024-12-01 00:08:59.999,1033553.2882253,1557,9.39088,906345.8814931,0
2024-12-01 00:09:00,96535.99,96541.36,96535.99,96541.36,2.34548,2024-12-01 00:09:59.999,226423.786416,496,1.72336,166366.7682308,0
2024-12-01 00:10:00,96541.36,96584.0,96541.35,96576.02,12.11679,2024-12-01 00:10:59.999,1170070.19506,1629,8.82714,852394.2661672,0
2024-12-01 00:11:00,96576.01,96576.02,96551.57,96551.57,6.4483,2024-12-01 00:11:59.999,622681.530791,1076,2.4671,238239.5214766,0
2024-12-01 00:12:00,96551.57,96551.58,96540.0,96540.0,4.87517,2024-12-01 00:12:59.999,470654.0096975,1316,0.42039,40584.8777744,0
2024-12-01 00:13:00,96540.0,96549.02,96540.0,96547.87,4.42785,2024-12-01 00:13:59.999,427477.2934637,743,3.50409,338292.1840028,0
2024-12-01 00:14:00,96547.86,96576.02,96547.86,96566.33,2.9086,2024-12-01 00:14:59.999,280872.8531877,1483,1.43289,138365.9332881,0
2024-12-01 00:15:00,96566.33,96572.0,96524.35,96572.0,10.04363,2024-12-01 00:15:59.999,969673.7427323,4661,4.30798,415927.2425484,0
2024-12-01 00:16:00,96572.0,96581.65,96557.33,96557.35,7.31277,2024-12-01 00:16:59.999,706201.3071401,1463,0.51135,49384.076228,0
2024-12-01 00:17:00,96557.34,96557.35,96524.2,96524.2,8.82562,2024-12-01 00:17:59.999,852002.690514,3194,4.07587,393455.2311118,0
2024-12-01 00:18:00,96524.2,96535.13,96515.12,96529.49,2.79489,2024-12-01 00:18:59.999,269770.9152361,2771,0.64651,62401.5485715,0
2024-12-01 00:19:00,96529.49,96553.61,96523.0,96553.61,4.48869,2024-12-01 00:19:59.999,433366.1936489,1514,2.45107,236648.0604235,0
2024-12-01 00:20:00,96553.6,96584.0,96553.6,96584.0,5.71049,2024-12-01 00:20:59.999,551433.5642648,1599,4.2059,406132.4134316,0
