Datetime,Open,Adj Close,Low,High,Volume,ATR,rollin_max,rollin_min,MACD,Signal,obv,obv_slope
2024-12-15 17:41:01.014,103226.2,103224.74,103224.74,103226.2,0.945812,31.64050000000061,103226.2,102994.2,,,-0.945812,
2024-12-15 17:42:01.007,103214.42,103214.42,103214.41,103224.01,0.012544,32.140500000000614,103226.2,102994.2,,,-0.958356,
2024-12-15 17:43:01.003,103219.06,103219.06,103219.06,103219.06,0.00026,32.19100000000035,103226.2,102994.2,,,-0.958096,
2024-12-15 17:44:01.003,103352.87,103352.87,103351.9,103352.88,0.004191,38.42900000000081,103352.88,102994.2,,,-0.953905,
2024-12-15 17:45:01.024,103299.9,103307.05,103293.65,103307.87,3.070575,40.45000000000073,103352.88,102994.2,,,-4.02448,-0.6152885
2024-12-15 17:46:01.015,103321.86,103321.84,103307.1,103321.86,0.08637,40.784000000000376,103352.88,102994.2,,,-3.9381099999999996,-0.9025891999999999
2024-12-15 17:47:01.007,103306.22,103306.23,103294.4,103309.6,0.014885,41.67550000000047,103352.88,102994.2,,,-3.9529949999999996,-0.8974002999999997
2024-12-15 17:48:01.002,103236.17,103232.75,103225.27,103236.17,0.364271,45.130999999999766,103352.88,102994.2,,,-4.317266,-0.6655236999999997
2024-12-15 17:49:01.007,103248.0,103248.0,103248.0,103248.0,0.01931,45.83000000000029,103352.88,102994.2,,,-4.297956,-0.09261079999999985
2024-12-15 17:50:01.027,103225.79,103206.84,103206.84,103225.79,0.420692,47.600500000000466,103352.88,102994.2,,,-4.718648,-0.1906036999999997
2024-12-15 17:51:01.005,103267.83,103267.83,103267.83,103267.83,0.00043,48.96000000000058,103352.88,103014.71,,,-4.718218,-0.19318280000000038
2024-12-15 17:52:01.003,103213.99,103213.99,103213.99,103213.99,0.00499,48.958000000000176,103352.88,103014.71,,,-4.7232080000000005,-0.1232145999999997
2024-12-15 17:53:01.005,103100.0,103096.01,103096.01,103101.37,0.29577,54.37150000000038,103352.88,103014.71,,,-5.018978000000001,-0.14466039999999988
2024-12-15 17:54:01.021,103110.97,103116.5,103108.53,103116.6,0.118378,54.7560000000005,103352.88,103014.71,,,-4.900600000000001,-0.06646639999999977
2024-12-15 17:55:01.017,103147.8,103147.8,103141.9,103147.81,0.04102,54.358499999999914,103352.88,103014.71,,,-4.859580000000001,-0.046011599999999604
2024-12-15 17:56:01.020,103129.53,103134.02,103129.53,103134.02,0.37313,52.30300000000061,103352.88,103014.71,,,-5.232710000000001,-0.08596059999999993
2024-12-15 17:57:01.010,103100.4,103108.32,103100.4,103109.87,1.554076,50.78550000000105,103352.88,103014.71,,,-6.786786000000001,-0.3867725999999997
2024-12-15 17:58:01.010,103130.61,103131.6,103130.6,103131.6,0.02117,48.37700000000113,103352.88,103096.01,,,-6.765616000000001,-0.5657237999999992
2024-12-15 17:59:01.016,103192.46,103192.2,103192.2,103192.46,0.007451,45.14500000000116,103352.88,103096.01,,,-6.758165000000002,-0.5330075999999994
2024-12-15 18:00:01.008,103164.0,103162.2,103162.2,103164.01,0.00174,42.77350000000151,103352.88,103096.01,,,-6.759905000000002,-0.3025768999999995
